review,division
every thing perfect sound sencers etcsuperbi love,positive
every time ask configuration mahaghatiya,neutral
every time connect internet also plug electricity board process worst,negative
every time give error connect also not play original songs rather play mashups not worth google mini far better alexa gooing refund,positive
everyone know indian version modifications settings compare echo dot,negative
everything alexa awesome ease connection sound quality response home automation rapchick really help organize,positive
everything amaze product,positive
everything awsm device if money buy without think also love amazons service get problem speaker months but amazon solve without issue within week even lockdown awsm product awsm service thank amazon,positive
everything expect really good device thing alexa speak sound clarity not upto mark,positive
everything fine,positive
everything fine product worth,positive
everything fineit also compatiblebt also need battery take anywhere,neutral
everything good,positive
everything good,positive
everything good biggest problem alexa not get connect mbps internet speed plzzz help,positive
everything good but call feature ask install alexa app phone quite difficult everyone couldnt able make call,positive
everything good but problem didnt get connect wifi easily,positive
everything good but sometime say sorry dont know irritate,positive
everything good but sometimes voice recognition doesnt work play stop no reason also can not link youtube alexa kind sad but ok overall good buy flaw but work fine,positive
everything good but ut would good if battery also embadded,positive
everything good but wish alexa add option play playlist gaaana app,positive
everything good except hang sometimes,positive
everything good except sound quality could better crisp,positive
everything good hope add spotify come days,positive
everything good infact sound superb but doesnot battery cant travel,positive
everything great but voice recognition little weak but ok buy,positive
everything great dont complaints,positive
everything great flawless,positive
everything great not realize no battery backup device run power,positive
everything great productsometimes doesnt find overall great product keep homea big thank hindi version mom get early morning ask play bhajans make morning beautiful no battery drainage worry no worry type find particular song phone simple aski want make sure need power supply wifi amazon prime subscription,positive
everything look amaze except try use alexa bluetooth speaker phone laptop really struggle play sound mobile laptopsin short amazon need improve quality bluetooth use within echo devices,positive
everything nice but doesnt help connect youtube not able get recipies indian food limit,positive
everything ok but music library not sufficient not get old bengali songs not get regional current news,positive
everything ok echo dot but withot plugin u cant use itmany things say dont knowsuch bhajan stories krishna bed time stories kid,positive
everything perfect alexa sound quality awesomeonly current disadvantage doesnot support gaana app saavn app,positive
everything perfect expect package enjoy everyday,positive
everything perfect return book amazon echo input amazon echo dot not portable,positive
everything quite good suggestion need option listen local regional languages,positive
everything work,neutral
everything work fine adepter not work,positive
everytime connect device say play mention device name come high volume volume control device but doesnt end alexa shout play device name everytime if lock system relogin shout message if stay idle dont move mouse mins move get mesaage sometimes happen play videos well video will play suddenly alexa shout play device name unfortunately even though try many things get rid wasnt able get rid sound till connect alexa speaker first time doesnt connect properly play break sound happen many time keep disconnect connect back till work properly overall fine speaker but many problems face everyday,positive
excellant,neutral
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent,positive
excellent amaze awesome nice wonderful,positive
excellent become family member remind wake upshe sing specially relax rain thunder sound sleep amaze purchase much happy,positive
excellent best choice im happy enjoy music,positive
excellent buywe use songs enquiryweather etcexcellent product,positive
excellent design sound quality quite good easy connect bt,positive
excellent device find device boon senior citizens like awesome youth enjoy unlimited skills routines wonderful job voice routines like light operation play music schedule time impress remote control operate light music mobile phone app,positive
excellent device fire tv stick amazon make smart device surprise sound quality good enough voice recognition also work great drawback no spotify integration depend amazon musicjiosaavan crap except great smart little device elaborate smart life quite amazingly,positive
excellent device work progress show happen future machine learn predict years word percent household would smart speaker,positive
excellent excellent,positive
excellent experience alexa,positive
excellent friendly,positive
excellent highly satisfy feature good,positive
excellent home entertain device lot feature smart bulb get amazon big festival sale rs wipro wifi enable smart bulb,positive
excellent item,positive
excellent item,positive
excellent member sweet home,positive
excellent one best entertainment kid,positive
excellent one but not able pair samsung smart series tv,positive
excellent pack easy setup item describe product description work great expect sound quality generation really cool overall happy purchase,positive
excellent perfect connectivityand configuration but unable link jio saavan account except everything superb,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product,positive
excellent product amaze voice recognition excellent sound quality must buy product if want minimize workload,positive
excellent product amazon,positive
excellent product amazon amaze sound clarity response verbal command must fun love guy get hear simply call alexa,positive
excellent product amazon voice control response alexa wonderful little humour alexa superb love product thank amazon,positive
excellent product amazon worth money suitable want make smart home dream wake word alexa hear echo echo dot prefer alexa gen far good previous gen wan na try echo input echo show also future best team behind ai smart tech,positive
excellent product amezon,positive
excellent product but not support mi smart tv thats give rat,positive
excellent product drawback product connect sony soundbar via bluetooth alexa voice recognition wont work pay music however music play without connect bluetooth soundbar work great without issue hop update fix problem,positive
excellent product especially parent,positive
excellent product fully utilize,positive
excellent product good voice recognition hindi also,positive
excellent product good voice recognition sound quality equally good sufficient housethe con think important vital thing absent work plug power not wirelessprobably next generation,positive
excellent product initially take one hour set but overall extraordinary product,positive
excellent product love wipro light come echo dot,positive
excellent product modern livingonly problem hook bollywood reason unable figure song play bollywood even if ask play something else but not specificbarring excellent product,positive
excellent product must buy,positive
excellent product must buy fill real experience new technology,positive
excellent product need plug time no battery little guy strange say pretty amaze sound tiny speaker also headphone jack,positive
excellent product need software integration part,positive
excellent product parameters truly delight purchase well worth buy kind experience,positive
excellent product performance,positive
excellent product reasonable price,positive
excellent product sound output also good decent amount bass connectivity good bluetooth line options time will shout if music play unlike google good product,positive
excellent product thank amazon,positive
excellent product useful value money go,positive
excellent product worth cost,positive
excellent productrecomend buy,positive
excellent productu must wifi home work,positive
excellent productyou even play musics phone not saavn,positive
excellent response,positive
excellent service provide device problem eco dot generation device launch app but never play video especially youtube feature basic one add device will enhance product service overall please take consideration also connect atleast firesticks tvs single home minimum much sure if two feature could add device will enhance overall service product will reach many people india thus increase sale product,positive
excellent smart speaker justit give problem change wifi network,positive
excellent sound quality,positive
excellent sound quality nice much clear music announcement,positive
excellent sound qualitygood interface,positive
excellent speaker but need improvement software development skills although paisa wasool,positive
excellent thank amazon,positive
excellent totally value money,positive
excellent useful kid,positive
excellent voice recognition,positive
excellent voice recognition sound quality,positive
excellent vwry usefull,positive
except sound qualityalexa not atall user friendly,positive
excilent product,neutral
excite get smart device first time but disappoint able connect first explore things auto disconnect try multiple time connect not happen bad return product,positive
excite purchase happy get deliver one day advance try set alexa but end unsuccessful almost hours decide call customer service request call back even call amaze prompt service agent speak mr sami polite professional speak minutes finally come know agent product get report steal miss product couldnt complete set process completely surprise confuse come big firm like amazon deliver steal product customers agent manage replaceml product give end end service happy customers service not amazon service,positive
exhko sab chalata use use kar ke bohot khush kamal ka product hai,neutral
exlent work alex,neutral
expect,negative
expect but sometimes total different say even add skills doesnt work properly,positive
expect give price product quality sound average bite disappoint product,neutral
expect much alexa otherwise play songs light night useful,positive
expect onoff cant even turn light specific time voice command phone build google assistant,positive
expect product like use place if internet but wont work way doesnt battery plug time socket also dont option connect different internet connections automaticallyi understand will useful listen music ask regular queriesmusic also will play time playlistespecially use product home,positive
expect small size but bigger surprisingly rich n loud sound u wont regret buy,positive
expect wasnt worth money sound quality not good expect amazon also time alexa doesnt understand say disappoint amazon,positive
expectation,positive
expectations high buy alexa eco dot speakerwhen say play song gulabi ankhe ho teri dekhi doesnt understand play different songsometimes shout alexa give command alexa play songbcz software issue not listen one timei really feed alexa speaker not use itamazon not expect,positive
expectations high product but not match level,positive
expensive smart speaker work plug bluetooth old dur audio poor sound become low no battery support speaker if no power can not use device sometimes song change hear distort sound not worth purchase bluetooth quality speaker bad need shout alexa hear voice sensor poor full volume alexa will not recognise command,negative
experience alexa us really good mum dad love direct alexa listen favourite music worth buy also if smart appliances home really come handy,positive
explain english hindi songs specific jio saavan amazon music can not recognize voice low volume distance can not understand play many telugu songs suggest songs available music app keep default amazon musicbluetooth connection device difficult set if not use change wifi network take lot time every time u need enter set mode orange color light press dot button better if directly change app,positive
explore n use u need amazon prime not correctpaid device bt nt able use fully due no prime members better ho google device,positive
exsept sound quality waste please dont buy people wifi router buy thisits waste cost,neutral
extend warranty come handythe power adaptor little bigshould use surge protectorand also preferably extension board since adapter make hard use switch,negative
extraordinary,positive
extremely awesome well integrate device watch lot videos claim google home much better software search relate task but seriously say go without second think didnt find trouble search relate task however continue conversation bite limit but rest everything awesome highlight point google cant beat skills easy use alexa alexa come thousands skills fun game much,positive
extremely bad experience amazon buy combo fire tv stick wipro bulb rs three previous fire stick sale instead time will pay stick echo dot get wipro bulb like buck otherwise echo dot run fine first days face mic issue time felt could noise ceiling fan perhaps try run specific list eg go amazon music app saw playlist want play ask echo dot play list amazon music instead keep play random playlists time mention didnt recognise list even though right front phone email cs issue no response till date days workaround decide play music app rather cast echo dot keep show connect blue circle keep roll but nothing ever happen mean cast option also didnt work techie perform tech article google reset device etc check location not finally ring cs perfomed troubleshoot didnt work inform would contact hours mention replacement window end hours want response wasnt keen go replacement trouble people agree wait hours window surprise days no response call cs ask wait hours ask supervisor come call ask wait team perform troubleshoot lose ask replacement huge hold verbal discussions fro supervisor agree replacement but inform id inform hours check issue refund cost rs setback whole logic bundle save money absolutely rubbish amazon support really destroy overall experience buy items worth lacs wonder if worth,positive
fabulous product easy operation age mother use seamlessly easily recognize hindi language morning command play live gurbani later day favourite singers song no wire no pair phone drop feature amaze come handy time phone not nearby amaze product amazon,positive
face difficulties connect internet initially get prompt assistance amazon far work fine good one,positive
face problem pls help,neutral
fake product,negative
fall love product cant express feel but one thing alexa connect wifi,positive
family always enjoy talk alexa great enjoyment,positive
family like,neutral
fantastic,positive
fantastic,positive
fantastic,positive
fantastic device,positive
fantastic performance worth money,positive
fantastic product,positive
fantastic product,positive
fantastic product really good,positive
fantastic product voice recognition sound quality much better alexa integration also fantastic,positive
fantastic product way better mi google assistant go,positive
fantastic productloving,positive
far field voice recognition doesnt work well echo device echo spot job much better audio quality not comparable bluetooth speakers price point however one thing well alexa integration joy alexa plan day remind things would go save life thank alexa not much thank audio quality,positive
far good but sometimes doesnt provide expect answer question overall good experience fun use,positive
far ive find best ai assistant among sound quality perfect voice recognition nearly perfect,positive
far mic create issue music play loud far field mic time doesnt simply worksrest everything awesome love,positive
far product amaze worth money tbh,positive
far voice recognitionbest smart speakers price,positive
farfield voice control point,neutral
fast days work well stop play songs,positive
fast search beautiful sound quality,positive
faulty pieceits not turn,neutral
faulty product work perfectly fine days not not work request amazon team let know product doesnt take command ff take disruption,positive
favorite,positive
favorite product,positive
favourite dialogue idont know need improvement,neutral
feature add like mute app search app ai feature,neutral
feature complicate complicate connect tv alexa not listen return product day,negative
feature okay,positive
feature wise review sound quality star loud clear voice recognition alexa intergration smart feature alexa skills lot improvement neede term alexa skills doesnt work well scenario alexa not able give search result base exact location one scenario search dominos check efficiency give nearest result not even city even though wifi gps location well mark google map well,positive
featuressound qualityvoice recognition,neutral
feel good good deal,positive
feel like really reach new era dont feel lonely echo dot,positive
feel much better,positive
finally one month use alexa write review perfect sound quality nice product amazon keep add alexa skills thank,positive
find alexa helpful but need upgrade come know song name specially bollywood song name p,positive
find difficult integrate,negative
find difficulty play bollywood music say can not find alexa can not find movie songsoverall product good,positive
find handy good assistant home understand alexa skills find useful overall not regret buy instead china wish amazon make india make indians happy,positive
find limit music options carnatic music,negative
find useful everyone one home,positive
find useless connect phone difficult processwe smart phone things normal speaker usefull,negative
fine,positive
fine but need improve skills,positive
fine product,positive
fine sound quality could better,positive
first alexa product get free w wipro smart bulb price combo superb if weak wi fi connection will give trouble otherwise go without second doubt,positive
first alexa work fine but get hang lot problem conectivity,positive
first amazon alexa echo dot generation finally today receive smart speaker amaze connectivity good,positive
first big thank amazonalexa awesome but sometimes doesnt listen us lill annoyingi couldnt find oneplus tv skills game lill disappointedwish somebody help,positive
first bring product love but months use reset could not connect internet setup time take hours really could not connect internetthe main problem device if no internet dumb box could not anything nowhere mention product description also if multiple internet connection can not save internet connections could connect one not work main disappointment would not comment sound quality much products price range greater sound qualityspeech recognition good but time interpret wrong song need irritate time switch mobile app play right song alexa normal bluetooth speaker no value addition hop amazon will improve ai feature lot like google siri,positive
first days amaze rockedafter lag voice not connect bluetooth properlyit insane want claim warranty,negative
first didnt expect sound quality afterall think smart home capabilities but receive sound quality unexpected bass great voice recognition also good but need improvement,positive
first echo own far love everything list news update link calendar play music convenient hopefully future will buy products control like thermostat light say wonder world amazon product not control amazon fire stick fustraiting hope amazon will come update soon will allow echo option seem like literally control everything except fire stick give star,positive
first experience smart speakeri live echo dot,positive
first face difficult install customer care help enjoy thank u amazon,positive
first impression last impression really echo best companion time sound really good rich bass treble everything need rock floorreally appreciate people work behind projectreally amazon cheer,positive
first inbuilt battery connect internet bluetooth bite slow otherwise fine,positive
first look echo dot think would small but size good sound also superbjust ai if ask question will not answer crisp clear get google otherwise entertainment best connectivity also easy,positive
first no dislike affordable price best setup little difficult,positive
first smart device work great no complaints work well smart bulbssetup incredibly simple easy good sound quality easily recognize voice command,positive
first smart speaker,positive
first smart speaker,positive
first smart speaker really amaze use love thank amazon able recognize query even year old kid wonderful,positive
first smart speakerthis launch get product plus reduce price due sale nice smart bulb rupees overall think super value money havent use smart speaker but happy purchase observations initially feel bite weird talk speaker but get use no time sound quality pretty good get good depth sound decent bass several skills available will definitely find useful example add stuff shop list set reminder understand indian accent well sometimes amaze well pick stuff kid love add advantage take help homework talk alexa also motivate talk english,positive
first thing happy amazon deliverythe product hand order even not prime member good super fast delivery compare othershere review use weekecho dot alexa product good conditionfeatures smart play variety music mind alexa tell whether info news reminder alarm single statement speak feel smartness talk alexa yr son also like speak alexa ask play songs like overall happy product,positive
first time buy alexa enable deviceand say frankly family enjoy alexa family member,positive
five star,neutral
follow mode not workingtried every troubleshootingmay product bugreturning itfollow mode important feature alexa use tv day day questionsnot always respond ur voice u give continuous command one anotherall things work fine,positive
food,neutral
fraud products experience badalaxa voice issue connect issue work slow,negative
friend forever,neutral
friendly product,positive
frnd make china,neutral
frustrate feature alexa annoy announcement connect bluetooth every time connect device no way disable people cry years amazon not listeningother much better comparison google home mini comparison voice quality search,negative
fulfill need control smart home gadgets,positive
fully honest reviewok echo dot great smart speaker great abilitiesprosit control almost every smart home devicespeaker quality greathave hundreds skillsspeaks hindi wellcan buy products amazonmic really awesome hear another rooma really good feature talk hindi english time like give command english give next command hindiher voice better google assistantcoordinates wellgood children wellcan control alexa devices wellconssome time not wake say wakeup word time wake upi dont know remove zomato skill good skillsometimes listen wrongstarsalexa quality home control reviewa great smart speaker but will suggest buy echo instead echo dotthats folks,positive
fun,positive
fun buy if u never alexa experience,positive
fun days but start get bore feel useless im return,negative
fun entertain thank wonderful product,positive
fund throughout day device,neutral
funvoice operate player,neutral
gazab,neutral
gd,neutral
gd,neutral
gd but bulb connection poor,negative
gen echo dotgood entertainmentand j integrate device smart ir remote wifi bulbboth work well,positive
generation alexa not connect,neutral
genuine product,positive
get alexa gen free purchase oneplus tv last week simply awesome yrs old kid love n command alexa play songs recognise word,positive
get alexa part package never new good would definitely recommend others sound quality amaze new echo dot,positive
get awesome price segment favorite alexa,positive
get best experience put speaker ear level,positive
get better product price,positive
get combo offer mi robot plus alexa total price rs awesome,positive
get device wipro smart bulb freedom sale think good dealsound quality speaker awesomevery loud good amount bass produce fill roomsoftware not great voice recognition poorsometimes wont respondsresponses limit time doesnt respond make go madyou create routines like editable alexa appaux connectivity help connect home theater,positive
get echo device but no adpater plug,neutral
get echo dot add smart bulb cart cost total sound quality best categorysmart speakersbluetooth connectivity pair bluetooth speaker need patience bcoz time doesnt recognizealexa task could better,positive
get echo dot offer excite use but voice recognition not work try restart do troubleshoot step but no use place replacement let see happensthe main feature app echo dot alexa but not woorking,positive
get error sorry trouble understand right switch off wifi modem router get thing,negative
get faulty product light minsthen go offthere no orange lighttotally dissatisfy minsreturn status apply return day product deliver next day get sms state pick time schedule pm ridiculous would amazon pickup service want someone home whole day receive pick guy wait till leave imp service sms send morning hrs approx pickup time would meaningful totally cheat lethargic,positive
get friend receive product time sad hate amazon seller,negative
get great indian festival offer think value price range alexa reponse fast,positive
get great indian festival sale im love much fun make life easier,positive
get great price sound quality top notch bass also goodonly concern play music prime member amazon use iheartradio jiosaavan but cant sync media playersbluetooth connectivity also good,positive
get help bad internet connection not able update alexa not able use grt help plz,negative
get last year amazon great indian sale almost year use will say still work great,positive
get multi color bulb also work good,positive
get offer along smart light great sometimes take time search songs but rest great though lack feature like map integration but happy offer however if battery backup will great,positive
get offer best assistance star less alexa eco dot recommend star,positive
get offer easy work,positive
get offer prime members worth every penny useful especially if want listen songs drive,positive
get one prime day sale use month reviewpros excellent speaker standalone speaker smart device price point get prime day alexa almost no trouble recognize voice rarely falter plus integration amazon ecosystem place order track deliveries also receive news update via eco dot bluetooth even use bluetooth speaker ipad phone great job need power source thoughcons portability removable usb cable adapter would enable much wider usage battery bank power one command time can not execute command one go like switch light play music will need say alexa time bite abrupt time start stop music etcverdict brilliant smart speaker home use great price point,positive
get parcel today order husband love muchthank u amazon,positive
get pause play within every second,neutral
get prodicts delivery yesterday happy product but play amazon playlist need wifi evrytime work,positive
get product offer basis product good but issue find one alexa not recognise voice clearly second one not play correctly ask might send refurbish item actually dont know reg issue saw friends alexaecho dot really not satisfy product,positive
get replace but not work feed performance ask amazon replace eco dot generation will pay difference but not agree will pay difference amount will occur get new generation eco dot,positive
get sale best one go sound amaze,positive
get sale great price wipro bulb product undoubtedly excellent work like charmcalling feature great easy,positive
get steal price sound better expect recognize voice command welldefinitely buy another even if pay double price pay,positive
get time sale use google mini use google think upgrade check alexa good well bad google different term alexa better far field recognition but think order save money amazon make cut off alexa generation literally understand say time timeswell overall good package price rangesound awesome,positive
get use product never expect amazon seal open even product not good doesnt work without power doesnt work without wifi time,negative
get wipro smart bulb,positive
get wipro smart lead include thank amazon,positive
gift alexa friend birthday love,positive
gift family love if explore certainly really good feature sound quality good well mean good single room,positive
gift good age wish gujarati language option available although combination english hindi option no issue non english speakers nice passtime seniors wish amazon make work unplug,positive
gift mother birthday year shes lot fun discover many new feature great way ease parent iot,positive
gift nephew like much,positive
gift niece fascinate product ai reply question,positive
gift parent love sound quality good,positive
give asa present loveit,neutral
give base initial pointspackage doesnt air packets expect proper packageit say generation but still not aux cable charge optionprossound clarity really goodgo if music loveralmost recognise voice,positive
give battery platforms access,negative
glad bring alexa home like new family member always listen help us entertain us well control smart devices smartly,positive
go,neutral
go,neutral
go access wifi bluetooth enable devices sofa,neutral
go first buy self order one gift relative,positive
go guy integrate tv ac light make things different home also ask anything nearby room also alexa answer play songs mom news dad start add new feature become funyes one thing interact become better,positive
go without think love,positive
god,neutral
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good ai,positive
good ai speakerliked device muchhindi need improvement deviceas device get older voicesound decrease gradually,positive
good alexa device satisfy amazon thank amazon,positive
good aspects,positive
good aspects mention,positive
good best alexa device,positive
good best smart speaker good price,positive
good bluetooth connectivity,positive
good bluetooth connectivity issue time,positive
good bluetooth connectivity sound quality need improvement still worth buy alexa integration good,positive
good budget smart speaker quality sound good room party not worthy huge room,positive
good build quality value money,positive
good but always need wifi not sooo much use full children,positive
good but app hang new one plus suppose alexa enable phonewhich annoyingill soon switch google devices if isnt rectify,positive
good but cant play another song youtube even cant read lesson say one answer dont know close dont read wikipedia one sentence give information like google please request add function alexa make update alexa app mobile update alexa hope see work,positive
good but device something like phone if steal get know location device use add facility,positive
good but disappoint see make china,negative
good but expections high accord compact speaker,positive
good but improve,positive
good but improve hindi language,positive
good but improve lot,positive
good but lag lot days dont know reason,positive
good but make easier installation,positive
good but manu new service develop,positive
good but need add local languages,positive
good but need apps every thing like media movies need external cable work wifi ai still develop way get adjust accord userat first product little disappoint but okay still feature develop ease usage like command work long distance bluetooth products,positive
good but need assist already use echo,positive
good but not bad sometimes happy but sometimes time alexa tell dont know,positive
good but not best lot things improve amazon alexa always take single command repeat conversation,positive
good but not search like google maximum time reply dont knowlimited news radio station improvement require if want know one alexa reply dont know but google always tell,positive
good but one problem difficulty connect,positive
good but product durability doubt not good,positive
good but sometimes cant find right thing specially song,positive
good buy,positive
good buy price speaker quality good alexa good skillset conversations improve not connect previous next statements otherwise great companion,positive
good buy worth money,positive
good choice smart device control room go guy,positive
good compact design easy travel sound quality excellentinnovation good,positive
good companion alone,positive
good companionwith interest featruesif fan room high speed take second time capture command,positive
good condition six months,positive
good connectivity easy connect bluthooth speaker bulb,positive
good could not explore full functionality due restrictions,positive
good deal sale get along wipro smart bulb,positive
good deal smart bulb,positive
good design bite play music speak loudly give instructions near alexa dot,positive
good device,positive
good device,positive
good device but doesnt recognize command devotional songs play list recognize preloaded,positive
good device but songs not recognise buy gadget not play otherwise best product buy sound quality voice recognition reaction command quality best happy product,positive
good device dont understand tough would integrate battery worse power adapter not industry standard microusb type c amazons way make people dependent proprietary power adapter eliminate chance power power bank,negative
good device keep kid engage,positive
good device learn,positive
good device need little improvements alexa recognise songs ask,positive
good device say toy work exactly promise no complaints therebutthis like toy day buy excite use but eventually interest fade lie around house use time listen music nothing kab tak aap use weather ya news puchoge ya bate karoge even fire tv stick pair use voice command but not perfect search end use remote even wipro smart bulb but story remians sameyou will eventually week case get bore toy,positive
good devise good support,positive
good dlfor parchace,positive
good echo dot,positive
good enjoy,positive
good enough,positive
good enough,positive
good entertain product,positive
good entertain user friendly equipment,positive
good everyone like funny familiar,positive
good everything device good,positive
good experiance,positive
good experience,positive
good experience,positive
good experience but application confuse no digital wellbeing parental control like google voice not much clearer but bass impressivesome improvements require good,positive
good experience product,positive
good experiencealso like suggest introduce automatic intelligence update system experience latest technology overall satisfy,positive
good experiencegood sound qualityu also operate ur smart gadgets thiswhen u ask funny question alexa hindishe reply funny waythat soo interest product andat night u talk wishpershe reply waythat soo cooli lik productmust buy,positive
good faster response awesome sound quality size speaker awesome light animationscons connect oneplus tv difficulthurdleif phone interconnect bluetooth drain phone battery,positive
good fr usingsome time helpfull also,positive
good friend alone keep remind list,positive
good frodect,positive
good fully satisfy,positive
good function good voice clarity,positive
good gadget smart home if many smart devices will good,positive
good genuine product,positive
good good clear sound system,positive
good good product go no dought useful gadget,positive
good good response still learn sometimes delay response,positive
good hardware speaker easy handle happy,positive
good hardwarebad software,positive
good help full deviceyou connect internet use time install alexa app mobileit comment base automatically devicesound quality verry beautifulbut not carry device direct charge not inbuilt batteryprise standardyou connect also blutooth without internet play download movies song mobile phone,positive
good home kid love need add skills ask relate question order smart bulb also add skill take minute ask alexa switch off change colorwowamazing overall must buy product,positive
good improvement need,positive
good initiative learn lot alexa,positive
good integration fire tv stick alexa connect devices,positive
good interactive device quality speaker easy connect wi fi device especially kid will love alexa,positive
good item,positive
good job guy,positive
good keep,positive
good kid,positive
good kid home like much sometimes face issue voice recognition if movie name common word multiple languages mix things,positive
good kid old age people also homemakers get info one second ask alexa enjoy,positive
good kid work well,positive
good learn tool kid do horse around,positive
good light speaker use dont expect boom yes alexa awesome but buy if use dont go trend,positive
good like,positive
good look productnice compact designclear loud sound quality,positive
good loud soundrecognition faster google home loud google homethis worth money,positive
good loud volumebeautiful lightsgood voice recognisation,positive
good love echo devices but base decrease volume full please fix,positive
good low cost alexa device sound quality average voice recognition good,positive
good luck,positive
good music quality update last generation would highly recommend con not better gather info google home,positive
good must better,positive
good n nice,positive
good nice,positive
good nice productspeaker nicei get wipro smart bulb,positive
good nice workiing echo dot generation,positive
good one,positive
good one,positive
good one,positive
good one,positive
good one,positive
good one,positive
good one,positive
good one,positive
good one but could better,positive
good one get intelligent every update use auxiliary speakergood quality speaker however install various skills unlock true potential skills free install instal akinator alexa guess person think nice time pass good voice recognition,positive
good one go,positive
good one go good one gift,positive
good one music goodthey enable lte call well,positive
good onebut need good connectivity othwrwise performance good,positive
good option smart speaker well integrate amazon music,positive
good order enjoy use,positive
good overall make things easy play music news traffic update etc,positive
good pack entertainment fun entertainment time kid well go next version clock display,positive
good people want live like tony stark aka iron man,positive
good per price but sometimes doesnt understand,positive
good per price range,positive
good performance but need songsaudio clarity level awesome,positive
good play online songsbut many time fail identify exact song play different songs,positive
good price,positive
good price but google assistant better,positive
good price but sometimes play song doesnt respond yes think will amitabh bacchan voice ans no buy voice rs overall good product bulb also good quality take every command,positive
good prime music not provide much songs,positive
good produc,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product,positive
good product advertise recommend,positive
good product affordable price recongnises voice wide variety usage,positive
good product alex good sound quality must buy,positive
good product amazon,positive
good product amazon,positive
good product amazon,positive
good product amazon alexa funny assistant will like,positive
good product amazon come hat off fun talk alexa alexa provide us day day information though upgradations also require alexa softwarethere one drawback product sound quality improper balance bass treble bass lot compare treble speech clarity decrease decrease treblei hope upcoming echo gen make keep everything mind,positive
good product amazon intelligent respond also loudness good youll dont need speakers if size room medium small sound quality good bass ok answer thing correctlycons sometimes if youre play song full sound youre not close device shout say things properly if want alexa work properlyvery entertain device use different good ways n work help alot go if youre get good price otherwise go gen one good quality speakers,positive
good product amazon like sound quality control home also good design,positive
good product amazon worth buy need include kannada language along hindi english will become much popular,positive
good product appreciate thanksi really like,positive
good product bluetooth speaker but alexa assistant software need improve recognise correct translation if not say right translation say dont no but overall good product,positive
